Year,China,India,Korea,United States,Canada,unit,source,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czechia,Denmark,EU-27,EU27+1,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Melta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,United Kingdom,source
2014,678.6,837.2,517,485.7,151,g CO2e/kwh,https://www.iea.org/data-and-statistics/charts/development-of-co2-emission-intensity-of-electricity-generation-in-selected-countries-2000-2020,94,205,476,178,682,481,268,317,329,993,140,51,490,846,271,450,257,123,186,200,715,497,828,299,331,117,217,280,12,425,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table&time=2000..latest
2015,650.2,777.5,526.8,455.7,148,g CO2e/kwh,https://www.iea.org/data-and-statistics/charts/development-of-co2-emission-intensity-of-electricity-generation-in-selected-countries-2000-2020,110,227,486,212,670,495,192,317,324,944,103,54,460,739,271,437,283,141,206,141,654,514,803,364,349,125,256,318,11,380,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table&time=2000..latest
2016,629.9,721.4,521.4,433.2,144.9,g CO2e/kwh,https://www.iea.org/data-and-statistics/charts/development-of-co2-emission-intensity-of-electricity-generation-in-selected-countries-2000-2020,98,172,462,210,679,505,231,305,305,924,109,60,456,622,261,429,262,117,154,78,653,491,794,296,309,116,254,266,12,294,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table&time=2000..latest
2017,622.7,725.2,537.3,421.1,140.8,g CO2e/kwh,https://www.iea.org/data-and-statistics/charts/development-of-co2-emission-intensity-of-electricity-generation-in-selected-countries-2000-2020,107,177,497,195,661,453,176,303,300,928,99,69,424,658,264,399,263,65,92,72,435,459,784,353,315,119,254,305,13,264,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table&time=2000..latest
2018,612.8,747,532.8,411.1,131.2,g CO2e/kwh,https://www.iea.org/data-and-statistics/charts/development-of-co2-emission-intensity-of-electricity-generation-in-selected-countries-2000-2020,102,207,425,135,664,445,189,287,285,900,111,54,406,662,251,353,248,138,65,69,356,441,789,310,291,137,248,276,13,250,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table&time=2000..latest
2019,598,721.4,506.1,383.2,132.2,g CO2e/kwh,https://www.iea.org/data-and-statistics/charts/development-of-co2-emission-intensity-of-electricity-generation-in-selected-countries-2000-2020,99,184,424,172,660,423,122,252,251,783,89,54,343,603,226,313,229,147,68,69,356,382,752,251,271,104,242,228,12,228,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table&time=2000..latest
2020,580,707.2,472.4,352.5,123.5,g CO2e/kwh,https://www.iea.org/data-and-statistics/charts/development-of-co2-emission-intensity-of-electricity-generation-in-selected-countries-2000-2020,83,192,352,164,653,386,116,226,226,669,67,55,301,522,218,293,212,92,146,69,356,318,724,201,208,90,219,190,13,209,https://ourworldindata.org/grapher/carbon-intensity-electricity?tab=table&time=2000..latest
2025,478,503,,263,,g CO2e/kwh,https://www.iea.org/reports/tracking-power-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,340,350,,163,,g CO2e/kwh,https://www.iea.org/reports/tracking-power-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,208,215,,93,,g CO2e/kwh,https://www.iea.org/reports/tracking-power-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040,101,108,,45,,g CO2e/kwh,https://www.iea.org/reports/tracking-power-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
