activity,flow_source,flows,value,unit,direction,type,source,data location,comment
total,electricity,n2o,5.91E-05,kg/kWh,output,mass,GREET,Battery_Sum tab A173 and Battery Assembly tab A13 and Electric tab B220 & C220 for electricity emissions calculation,kWh refers to battery capacity
total,electricity,co2,3.770959768,kg/kWh,output,mass,GREET,Battery_Sum tab A173 and Battery Assembly tab A13 and Electric tab B220 & C220 for electricity emissions calculation,kWh refers to battery capacity
materials,total,voc,0.013390604,kg/kWh,output,mass,GREET,Battery_Sum tab A173 and Battery Assembly tab A13,kWh refers to battery capacity
materials,total,co,0.035594265,kg/kWh,output,mass,GREET,Battery_Sum tab A173 and Battery Assembly tab A13,kWh refers to battery capacity
materials,total,nox,0.083670423,kg/kWh,output,mass,GREET,Battery_Sum tab A173 and Battery Assembly tab A13,kWh refers to battery capacity
materials,total,pm10,0.046806777,kg/kWh,output,mass,GREET,Battery_Sum tab A173 and Battery Assembly tab A13,kWh refers to battery capacity
materials,total,pm2.5,0.015203186,kg/kWh,output,mass,GREET,Battery_Sum tab A173 and Battery Assembly tab A13,kWh refers to battery capacity
materials,total,sox,0.787791625,kg/kWh,output,mass,GREET,Battery_Sum tab A173 and Battery Assembly tab A13,kWh refers to battery capacity
materials,total,bc,0.001021195,kg/kWh,output,mass,GREET,Battery_Sum tab A173 and Battery Assembly tab A13,kWh refers to battery capacity
materials,total,oc,0.001163391,kg/kWh,output,mass,GREET,Battery_Sum tab A173 and Battery Assembly tab A13,kWh refers to battery capacity
materials,total,ch4,0.11911403,kg/kWh,output,mass,GREET,Battery_Sum tab A173 and Battery Assembly tab A13,kWh refers to battery capacity
materials,total,n2o,0.001020829,kg/kWh,output,mass,GREET,Battery_Sum tab A173 and Battery Assembly tab A13,kWh refers to battery capacity
materials,total,co2,53.28236898,kg/kWh,output,mass,GREET,Battery_Sum tab A173 and Battery Assembly tab A13,kWh refers to battery capacity
assembly,total,voc,0.002132354,kg/kWh,output,mass,GREET,Battery_Sum tab A173 and Battery Assembly tab A13,kWh refers to battery capacity
assembly,total,co,0.008541712,kg/kWh,output,mass,GREET,Battery_Sum tab A173 and Battery Assembly tab A13,kWh refers to battery capacity
assembly,total,nox,0.012781864,kg/kWh,output,mass,GREET,Battery_Sum tab A173 and Battery Assembly tab A13,kWh refers to battery capacity
assembly,total,pm10,0.001003204,kg/kWh,output,mass,GREET,Battery_Sum tab A173 and Battery Assembly tab A13,kWh refers to battery capacity
assembly,total,pm2.5,0.000727047,kg/kWh,output,mass,GREET,Battery_Sum tab A173 and Battery Assembly tab A13,kWh refers to battery capacity
assembly,total,sox,0.008075706,kg/kWh,output,mass,GREET,Battery_Sum tab A173 and Battery Assembly tab A13,kWh refers to battery capacity
assembly,total,bc,0.000111156,kg/kWh,output,mass,GREET,Battery_Sum tab A173 and Battery Assembly tab A13,kWh refers to battery capacity
assembly,total,oc,0.000259107,kg/kWh,output,mass,GREET,Battery_Sum tab A173 and Battery Assembly tab A13,kWh refers to battery capacity
assembly,total,ch4,0.036704061,kg/kWh,output,mass,GREET,Battery_Sum tab A173 and Battery Assembly tab A13,kWh refers to battery capacity
assembly,total,n2o,0.000346492,kg/kWh,output,mass,GREET,Battery_Sum tab A173 and Battery Assembly tab A13,kWh refers to battery capacity
assembly,total,co2,12.45156671,kg/kWh,output,mass,GREET,Battery_Sum tab A173 and Battery Assembly tab A13,kWh refers to battery capacity
total,battery,battery,1,kWh/kWh,input,mass,Dummy,Dummy,kWh refers to battery capacity
