Date,Balancing Authority,Demand (MW),Net Generation (MW),Total Interchange (MW)
7/15/18,NYIS,512503,409922,-102581
7/15/18,SWPP,0,0,0
7/16/18,CISO,789719,576100,-179216
7/16/18,ERCO,1336645,1329499,-7174
7/16/18,FPL,432107,427147,-4960
7/16/18,MISO,2260073,2166028,-127160
7/16/18,NYIS,604066,499375,-104691
7/16/18,SWPP,0,0,0
7/17/18,CISO,795472,559849,-199913
7/17/18,ERCO,1340852,1332032,-8841
7/17/18,FPL,423694,422890,-804
7/17/18,MISO,2126750,2035949,-118437
7/17/18,NYIS,576839,483363,-93476
7/17/18,SWPP,0,0,0
7/18/18,CISO,798570,573964,-191298
7/18/18,ERCO,1370660,1363499,-7177
7/18/18,FPL,416462,414939,-1523
7/18/18,MISO,2057790,1965732,-118119
7/18/18,NYIS,508373,399436,-108937
7/18/18,SWPP,0,0,0
7/19/18,CISO,814347,580056,-196971
7/19/18,ERCO,1406929,1401199,-5741
7/19/18,FPL,426204,421728,-4476
7/19/18,MISO,2081291,1982199,-124796
7/19/18,NYIS,486285,376570,-109715
7/19/18,SWPP,0,0,0
7/20/18,CISO,763933,517075,-221668
7/20/18,ERCO,1397425,1394665,-2784
7/20/18,FPL,421453,420907,-546
7/20/18,MISO,2095124,1991990,-129650
7/20/18,NYIS,505463,400271,-105192
7/20/18,SWPP,0,0,0
7/21/18,CISO,753441,502420,-215709
7/21/18,ERCO,1347396,1344685,-2724
7/21/18,FPL,417633,413946,-3687
7/21/18,MISO,1914431,1814508,-125445
7/21/18,NYIS,448582,354206,-94376
7/21/18,SWPP,0,0,0
7/22/18,CISO,740935,543430,-163763
7/22/18,ERCO,1349200,1342170,-7048
7/22/18,FPL,417133,414350,-2783
7/22/18,MISO,1852423,1769213,-108257
7/22/18,NYIS,468812,370707,-98105
7/22/18,SWPP,0,0,0
7/23/18,CISO,850483,670650,-147916
7/23/18,ERCO,1405217,1400288,-4938
7/23/18,FPL,410334,409133,-1201
7/23/18,MISO,2044594,1973796,-97579
7/23/18,NYIS,550605,454930,-95675
7/23/18,SWPP,0,0,0
7/24/18,CISO,872456,694330,-142070
7/24/18,ERCO,1362170,1360077,-2109
7/24/18,FPL,400157,403226,3069
7/24/18,MISO,2109648,2037905,-101439
7/24/18,NYIS,571805,478267,-93538
7/24/18,SWPP,0,0,0
7/25/18,CISO,871151,694721,-140478
7/25/18,ERCO,1334478,1329324,-5174
7/25/18,FPL,415829,409065,-6764
7/25/18,MISO,2120986,2046158,-104477
7/25/18,NYIS,546833,444025,-102808
7/25/18,SWPP,0,0,0
7/26/18,CISO,846048,643334,-167349
7/26/18,ERCO,1323692,1315630,-8084
7/26/18,FPL,431249,426686,-4563
7/26/18,MISO,2032407,1971994,-85306
7/26/18,NYIS,549838,433414,-116424
7/26/18,SWPP,0,0,0
7/27/18,CISO,823477,613075,-174627
7/27/18,ERCO,1299536,1293181,-6376
7/27/18,FPL,419556,420465,909
7/27/18,MISO,1934316,1856580,-97472
7/27/18,NYIS,548694,453402,-95292
7/27/18,SWPP,0,0,0
7/28/18,CISO,760687,562539,-164518
7/28/18,ERCO,1295667,1287845,-7847
7/28/18,FPL,388330,388221,-109
7/28/18,MISO,1800513,1684915,-136948
7/28/18,NYIS,496968,401647,-95321
7/28/18,SWPP,0,0,0
7/29/18,CISO,746103,562733,-148737
7/29/18,ERCO,1315216,1307083,-8156
7/29/18,FPL,360207,361451,1244
7/29/18,MISO,1758201,1638265,-136422
7/29/18,NYIS,466132,369036,-97096
7/29/18,SWPP,0,0,0
7/30/18,CISO,825046,635456,-155336
7/30/18,ERCO,1302730,1300568,-2188
7/30/18,FPL,362341,363630,1289
7/30/18,MISO,1930718,1822866,-128918
7/30/18,NYIS,494818,390817,-104001
7/30/18,SWPP,0,0,0
7/31/18,CISO,834802,614006,-185508
7/31/18,ERCO,1213593,1211410,-2188
7/31/18,FPL,389957,390819,862
7/31/18,MISO,1931747,1840753,-112687
7/31/18,NYIS,512628,403986,-108642
7/31/18,SWPP,0,0,0
8/1/18,CISO,839553,624488,-180416
8/1/18,ERCO,1210119,1204411,-5731
8/1/18,FPL,409724,404400,-5324
8/1/18,MISO,1958684,1868672,-101954
8/1/18,NYIS,556731,441388,-115343
8/1/18,SWPP,0,0,0
8/2/18,CISO,822940,597599,-189569
8/2/18,ERCO,1231471,1225191,-6290
8/2/18,FPL,420099,414105,-5994
8/2/18,MISO,1994809,1913162,-104811
8/2/18,NYIS,581953,478984,-102969
8/2/18,SWPP,0,0,0
8/3/18,CISO,820647,584344,-201196
8/3/18,ERCO,1254414,1247904,-6526
8/3/18,FPL,422733,416045,-6688
8/3/18,MISO,2060091,1981249,-102528
8/3/18,NYIS,561994,469467,-92527
8/3/18,SWPP,0,0,0
8/4/18,CISO,763069,567783,-162037
8/4/18,ERCO,1207045,1198392,-8674
8/4/18,FPL,419688,415016,-4672
8/4/18,MISO,2006951,1942433,-90849
8/4/18,NYIS,520837,426610,-94227
8/4/18,SWPP,0,0,0
8/5/18,CISO,726155,563950,-127079
8/5/18,ERCO,1217937,1207844,-10106
8/5/18,FPL,417973,411345,-6628
8/5/18,MISO,2066056,1990613,-104357
8/5/18,NYIS,539005,438804,-100201
8/5/18,SWPP,0,0,0
8/6/18,CISO,816537,640538,-142676
8/6/18,ERCO,1297627,1293300,-4351
8/6/18,FPL,431478,426229,-5249
8/6/18,MISO,2189231,2118638,-100907
8/6/18,NYIS,622839,522475,-100364
8/6/18,SWPP,0,0,0
8/7/18,CISO,830683,652151,-144186
8/7/18,ERCO,1310400,1307091,-3323
8/7/18,FPL,435303,433393,-1910
8/7/18,MISO,2111561,2041857,-94305
8/7/18,NYIS,610095,513418,-96677
8/7/18,SWPP,0,0,0
8/8/18,CISO,829010,636326,-158220
8/8/18,ERCO,1288901,1285936,-2989
8/8/18,FPL,439696,435152,-4544
8/8/18,MISO,2134622,2033167,-122821
8/8/18,NYIS,593941,496337,-97604
8/8/18,SWPP,0,0,0
8/9/18,CISO,850734,652815,-163736
8/9/18,ERCO,1262828,1258987,-3864
8/9/18,FPL,430682,425314,-5368
8/9/18,MISO,2144928,2055921,-113609
8/9/18,NYIS,588315,490254,-98061
8/9/18,SWPP,0,0,0
8/10/18,CISO,839776,579524,-224145
8/10/18,ERCO,1191242,1196541,5278
8/10/18,FPL,404073,399407,-4666
8/10/18,MISO,2111376,1986722,-148513
8/10/18,NYIS,550695,451510,-99185
8/10/18,SWPP,0,0,0
8/11/18,CISO,779895,514762,-230446
8/11/18,ERCO,1075357,1079890,4510
8/11/18,FPL,371597,373092,1495
8/11/18,MISO,1985931,1860971,-151568
8/11/18,NYIS,481533,384678,-96855
8/11/18,SWPP,0,0,0
8/12/18,CISO,749345,493311,-220838
8/12/18,ERCO,1069880,1070018,123
8/12/18,FPL,370632,372063,1431
8/12/18,MISO,1986454,1857084,-158413
8/12/18,NYIS,486151,384663,-101488
8/12/18,SWPP,0,0,0
8/13/18,CISO,773774,555171,-185174
8/13/18,ERCO,1181344,1180816,-548
8/13/18,FPL,409164,405870,-3294
8/13/18,MISO,2179937,2055350,-157874
8/13/18,NYIS,512958,403061,-109897
8/13/18,SWPP,0,0,0
8/14/18,CISO,762536,566816,-162753
8/14/18,ERCO,1216904,1222365,5424
8/14/18,FPL,408820,405911,-2909
8/14/18,MISO,2184080,2021859,-195428
8/14/18,NYIS,521470,433403,-88067
8/14/18,SWPP,0,0,0
8/15/18,CISO,777920,549743,-194276
8/15/18,ERCO,1297646,1294121,-3548
8/15/18,FPL,424542,421313,-3229
8/15/18,MISO,2154182,2033458,-151095
8/15/18,NYIS,551259,464711,-86548
8/15/18,SWPP,0,0,0
8/16/18,CISO,795618,554971,-205675
8/16/18,ERCO,1327726,1320074,-7679
8/16/18,FPL,439066,433086,-5980
8/16/18,MISO,2166588,2028728,-168149
8/16/18,NYIS,584699,491921,-92778
8/16/18,SWPP,0,0,0
8/17/18,CISO,813806,564749,-215688
8/17/18,ERCO,1330963,1324625,-6361
8/17/18,FPL,435486,429429,-6057
8/17/18,MISO,2086619,1962608,-153131
8/17/18,NYIS,583633,481784,-101849
8/17/18,SWPP,0,0,0
8/18/18,CISO,768175,544694,-189995
8/18/18,ERCO,1292017,1284865,-7182
8/18/18,FPL,418222,415250,-2972
8/18/18,MISO,1952997,1844257,-134677
8/18/18,NYIS,512078,399047,-113031
8/18/18,SWPP,0,0,0
8/19/18,CISO,731773,547948,-149261
8/19/18,ERCO,1253349,1244679,-8694
8/19/18,FPL,397808,396012,-1796
8/19/18,MISO,1915349,1801782,-140280
8/19/18,NYIS,438070,352474,-85596
8/19/18,SWPP,0,0,0
8/20/18,CISO,773263,563164,-176110
8/20/18,ERCO,1306028,1293580,-12476
8/20/18,FPL,403134,399464,-3670
8/20/18,MISO,2034293,1926967,-136231
8/20/18,NYIS,470309,376993,-93316
8/20/18,SWPP,0,0,0
8/21/18,CISO,755745,531383,-191808
8/21/18,ERCO,1302324,1290252,-12112
8/21/18,FPL,421963,416992,-4971
8/21/18,MISO,1977391,1871008,-130249
8/21/18,NYIS,480307,388006,-92301
8/21/18,SWPP,0,0,0
8/22/18,CISO,754973,527649,-195763
8/22/18,ERCO,1307508,1298021,-9513
8/22/18,FPL,415700,410155,-5545
8/22/18,MISO,1894542,1780880,-135939
8/22/18,NYIS,508143,404446,-103697
8/22/18,SWPP,0,0,0
8/23/18,CISO,741061,496715,-212662
8/23/18,ERCO,1329621,1317243,-12394
8/23/18,FPL,414763,411374,-3389
8/23/18,MISO,1889065,1763506,-147914
8/23/18,NYIS,464437,370244,-94193
8/23/18,SWPP,0,0,0
8/24/18,CISO,710417,473083,-203572
8/24/18,ERCO,1335829,1328148,-7706
8/24/18,FPL,406873,403881,-2992
8/24/18,MISO,1857724,1741681,-133253
8/24/18,NYIS,473934,366727,-107207
8/24/18,SWPP,0,0,0
8/25/18,CISO,659953,428140,-197414
8/25/18,ERCO,1294626,1287289,-7367
8/25/18,FPL,365421,367752,2331
8/25/18,MISO,1804027,1656682,-174868
8/25/18,NYIS,445809,344756,-101053
8/25/18,SWPP,0,0,0
8/26/18,CISO,635128,429969,-167861
8/26/18,ERCO,1277702,1269195,-8529
8/26/18,FPL,385733,383157,-2576
8/26/18,MISO,2027626,1902217,-153461
8/26/18,NYIS,465297,372006,-93291
8/26/18,SWPP,0,0,0
8/27/18,CISO,687319,463669,-191511
8/27/18,ERCO,1334177,1328496,-5689
8/27/18,FPL,418135,407283,-10852
8/27/18,MISO,2251883,2154680,-131580
8/27/18,NYIS,568647,460732,-107915
8/27/18,SWPP,0,0,0
8/28/18,CISO,692001,472068,-187877
8/28/18,ERCO,1339668,1329359,-10327
8/28/18,FPL,386086,384242,-1844
8/28/18,MISO,2197643,2095039,-134557
8/28/18,NYIS,634636,530425,-104211
8/28/18,SWPP,0,0,0
8/29/18,CISO,714684,478232,-200449
8/29/18,ERCO,1295903,1286844,-9075
8/29/18,FPL,385599,385195,-404
8/29/18,MISO,1985210,1897091,-109819
8/29/18,NYIS,650915,554452,-96463
8/29/18,SWPP,0,0,0
8/30/18,CISO,708307,462019,-210037
8/30/18,ERCO,1288402,1276491,-11925
8/30/18,FPL,383949,382771,-1178
8/30/18,MISO,1912087,1847297,-90754
8/30/18,NYIS,595428,504745,-90683
8/30/18,SWPP,0,0,0
8/31/18,CISO,697796,473320,-190223
8/31/18,ERCO,1298025,1286798,-11221
8/31/18,FPL,388296,384216,-4080
8/31/18,MISO,1955649,1859820,-124064
8/31/18,NYIS,496337,393101,-103236
8/31/18,SWPP,872838,913306,40469
9/1/18,CISO,641415,437889,-167945
9/1/18,ERCO,1232443,1224664,-7798
9/1/18,FPL,390725,386071,-4654
9/1/18,MISO,1911411,1791455,-147679
9/1/18,NYIS,451357,354666,-96691
9/1/18,SWPP,835649,867926,32275
9/2/18,CISO,620405,407766,-176305
9/2/18,ERCO,1156713,1150506,-6214
9/2/18,FPL,357696,359407,1711
9/2/18,MISO,1897395,1779743,-146268
9/2/18,NYIS,471031,375019,-96012
9/2/18,SWPP,780424,810370,29944
9/3/18,CISO,643795,432062,-175849
9/3/18,ERCO,1077007,1076913,-145
9/3/18,FPL,329689,330539,850
9/3/18,MISO,1940105,1839500,-127859
9/3/18,NYIS,555117,458632,-96485
9/3/18,SWPP,762943,795859,32918
9/4/18,CISO,705355,503938,-169079
9/4/18,ERCO,1155044,1153972,-1084
9/4/18,FPL,389539,383854,-5685
9/4/18,MISO,2178780,2083157,-125165
9/4/18,NYIS,614799,520819,-93980
9/4/18,SWPP,799569,826183,26611
9/5/18,CISO,706151,523003,-148688
9/5/18,ERCO,1177384,1172326,-5086
9/5/18,FPL,415856,409679,-6177
9/5/18,MISO,2155612,2061487,-118350
9/5/18,NYIS,622825,535266,-87559
9/5/18,SWPP,788626,823668,35043
9/6/18,CISO,703758,514147,-154878
9/6/18,ERCO,1155078,1148150,-6956
9/6/18,FPL,399875,396962,-2913
9/6/18,MISO,1973843,1896108,-95468
9/6/18,NYIS,612750,529915,-82835
9/6/18,SWPP,776009,814501,38493
9/7/18,CISO,725646,504084,-186447
9/7/18,ERCO,1155364,1148716,-6679
9/7/18,FPL,371552,368514,-3038
9/7/18,MISO,1856483,1786162,-84884
9/7/18,NYIS,507379,401551,-105828
9/7/18,SWPP,737349,769243,31896
9/8/18,CISO,706350,492648,-179434
9/8/18,ERCO,1070114,1063673,-6469
9/8/18,FPL,363032,362341,-691
9/8/18,MISO,1669637,1576099,-112164
9/8/18,NYIS,406816,299016,-107800
9/8/18,SWPP,664246,688075,23829
9/9/18,CISO,672529,469709,-168007
9/9/18,ERCO,980508,968462,-12058
9/9/18,FPL,375434,372943,-2491
9/9/18,MISO,1584920,1455728,-144412
9/9/18,NYIS,366302,276323,-89979
9/9/18,SWPP,636571,663802,27228
9/10/18,CISO,712340,500985,-176766
9/10/18,ERCO,984322,978197,-6146
9/10/18,FPL,398488,392478,-6010
9/10/18,MISO,1737577,1627516,-124885
9/10/18,NYIS,401310,302067,-99243
9/10/18,SWPP,694829,721205,26376
9/11/18,CISO,691355,490322,-165959
9/11/18,ERCO,1004548,997150,-7430
9/11/18,FPL,408675,402174,-6501
9/11/18,MISO,1798000,1719175,-98389
9/11/18,NYIS,425407,328688,-96719
9/11/18,SWPP,722833,755586,32750
9/12/18,CISO,673817,470559,-169058
9/12/18,ERCO,1080375,1071067,-9336
9/12/18,FPL,424671,415098,-9573
9/12/18,MISO,1857539,1799367,-79865
9/12/18,NYIS,466626,358257,-108369
9/12/18,SWPP,739971,782543,42569
9/13/18,CISO,670401,452255,-182459
9/13/18,ERCO,1109101,1103619,-5509
9/13/18,FPL,423646,416155,-7491
9/13/18,MISO,1927537,1862058,-91121
9/13/18,NYIS,478022,355207,-122815
9/13/18,SWPP,775409,820302,44896
9/14/18,CISO,678291,447599,-195501
9/14/18,ERCO,1060975,1063951,2952
9/14/18,FPL,414613,406495,-8118
9/14/18,MISO,2014979,1932740,-106232
9/14/18,NYIS,478632,368303,-110329
9/14/18,SWPP,817223,850352,33128
9/15/18,CISO,629534,422842,-170774
9/15/18,ERCO,1067029,1063570,-3462
9/15/18,FPL,419580,413948,-5632
9/15/18,MISO,1975073,1865896,-130340
9/15/18,NYIS,458547,334186,-124361
9/15/18,SWPP,785870,831972,46103
9/16/18,CISO,606761,403089,-168682
9/16/18,ERCO,1097210,1084616,-12592
9/16/18,FPL,428305,420875,-7430
9/16/18,MISO,1963747,1851333,-132648
9/16/18,NYIS,470914,335344,-135570
9/16/18,SWPP,782890,815823,32931
9/17/18,CISO,658940,457919,-166534
9/17/18,ERCO,1196104,1185150,-10958
9/17/18,FPL,446460,436578,-9882
9/17/18,MISO,2123221,2015670,-131155
9/17/18,NYIS,499978,389660,-110318
9/17/18,SWPP,842883,882149,39265
9/18/18,CISO,654690,462380,-156831
9/18/18,ERCO,1233935,1230294,-3671
9/18/18,FPL,434960,422530,-12430
9/18/18,MISO,2059136,1969737,-111370
9/18/18,NYIS,511590,411866,-99724
9/18/18,SWPP,853197,888065,34866
9/19/18,CISO,656792,451034,-169462
9/19/18,ERCO,1237338,1238057,690
9/19/18,FPL,430348,417407,-12941
9/19/18,MISO,2011977,1938821,-96465
9/19/18,NYIS,478001,367379,-110622
9/19/18,SWPP,866283,896304,30024
9/20/18,CISO,674223,443876,-192482
9/20/18,ERCO,1171876,1176214,4314
9/20/18,FPL,425161,410489,-14672
9/20/18,MISO,2050619,1977846,-104223
9/20/18,NYIS,440511,337708,-102803
9/20/18,SWPP,861796,885145,23346
9/21/18,CISO,683770,445852,-202181
9/21/18,ERCO,1132454,1139160,6680
9/21/18,FPL,412233,398728,-13505
9/21/18,MISO,1919211,1857462,-93050
9/21/18,NYIS,453464,350474,-102990
9/21/18,SWPP,702586,725938,23355
9/22/18,CISO,645025,408869,-199983
9/22/18,ERCO,986142,981740,-4401
9/22/18,FPL,396751,389302,-7449
9/22/18,MISO,1576666,1488002,-106831
9/22/18,NYIS,396161,292672,-103489
9/22/18,SWPP,614845,653590,38748
9/23/18,CISO,612483,395593,-180105
9/23/18,ERCO,922066,912720,-9349
9/23/18,FPL,404255,394796,-9459
9/23/18,MISO,1558000,1462306,-119096
9/23/18,NYIS,365388,275509,-89879
9/23/18,SWPP,624646,655496,30850
9/24/18,CISO,656097,433885,-187305
9/24/18,ERCO,1053003,1045606,-7397
9/24/18,FPL,420204,407556,-12648
9/24/18,MISO,1766383,1656206,-135395
9/24/18,NYIS,395062,319809,-75253
9/24/18,SWPP,696628,728380,31748
9/25/18,CISO,650595,431896,-183229
9/25/18,ERCO,1133251,1127980,-5298
9/25/18,FPL,429032,415585,-13447
9/25/18,MISO,1851722,1755748,-119882
9/25/18,NYIS,415046,360585,-54461
9/25/18,SWPP,715507,753719,38213
9/26/18,CISO,679200,444334,-199649
9/26/18,ERCO,1043468,1043346,-123
9/26/18,FPL,430594,409625,-20969
9/26/18,MISO,1715454,1652778,-86115
9/26/18,NYIS,463797,399918,-63879
9/26/18,SWPP,636457,666041,29582
9/27/18,CISO,695825,472014,-189214
9/27/18,ERCO,946134,940754,-5386
9/27/18,FPL,433957,410565,-23392
9/27/18,MISO,1660439,1561528,-117870
9/27/18,NYIS,414876,335110,-79766
9/27/18,SWPP,632619,666156,33541
9/28/18,CISO,674169,451652,-186336
9/28/18,ERCO,969811,962444,-7376
9/28/18,FPL,429971,410675,-19296
9/28/18,MISO,1641315,1521734,-133665
9/28/18,NYIS,396408,326765,-69643
9/28/18,SWPP,634668,670522,35857
9/29/18,CISO,604399,385045,-183213
9/29/18,ERCO,941915,935072,-6854
9/29/18,FPL,413404,397257,-16147
9/29/18,MISO,1538758,1426685,-125608
9/29/18,NYIS,361403,305636,-55767
9/29/18,SWPP,610258,640148,29885
9/30/18,CISO,594468,366487,-190052
9/30/18,ERCO,982956,979105,-3859
9/30/18,FPL,408065,393817,-14248
9/30/18,MISO,1547062,1409115,-155261
9/30/18,NYIS,355549,306397,-49152
9/30/18,SWPP,638493,666367,27877
10/1/18,CISO,689897,451051,-203070
10/1/18,ERCO,1061461,1051662,-9805
10/1/18,FPL,411694,392069,-19625
10/1/18,MISO,1743742,1630700,-131898
10/1/18,NYIS,411740,348400,-63340
10/1/18,SWPP,705684,734710,29025
10/2/18,CISO,671813,451304,-185917
10/2/18,ERCO,1100866,1098802,-2083
10/2/18,FPL,405204,396342,-8862
10/2/18,MISO,1810587,1718309,-117500
10/2/18,NYIS,433142,385435,-47707
10/2/18,SWPP,740867,762846,21981
10/3/18,CISO,653957,420365,-199506
10/3/18,ERCO,1160459,1160517,47
10/3/18,FPL,395883,384640,-11243
10/3/18,MISO,1888646,1799530,-127803
10/3/18,NYIS,424239,381155,-43084
10/3/18,SWPP,796330,812392,16063
10/4/18,CISO,632217,422197,-176114
10/4/18,ERCO,1166857,1162230,-4643
10/4/18,FPL,398437,392427,-6010
10/4/18,MISO,1815898,1736750,-107725
10/4/18,NYIS,428816,393202,-35614
10/4/18,SWPP,720742,744169,23431
10/5/18,CISO,615467,437598,-143939
10/5/18,ERCO,1166623,1168400,1764
10/5/18,FPL,404632,400256,-4376
10/5/18,MISO,1778632,1671866,-125485
10/5/18,NYIS,399853,347433,-52420
10/5/18,SWPP,724950,741453,16505
10/6/18,CISO,560958,388111,-137739
10/6/18,ERCO,1109622,1098323,-11311
10/6/18,FPL,380072,378148,-1924
10/6/18,MISO,1692654,1620183,-88869
10/6/18,NYIS,375585,319847,-55738
10/6/18,SWPP,655968,691640,35675
10/7/18,CISO,542663,366735,-142802
10/7/18,ERCO,1077749,1084542,6779
10/7/18,FPL,379979,379428,-551
10/7/18,MISO,1644354,1594400,-63699
10/7/18,NYIS,391998,328441,-63557
10/7/18,SWPP,631176,637863,6690
10/8/18,CISO,612174,407903,-172137
10/8/18,ERCO,1086468,1095470,8999
10/8/18,FPL,389667,386525,-3142
10/8/18,MISO,1853023,1792903,-77734
10/8/18,NYIS,415068,363824,-51244
10/8/18,SWPP,696818,701915,5100
10/9/18,CISO,612955,419560,-161773
10/9/18,ERCO,1023132,1022785,-346
10/9/18,FPL,410248,404038,-6210
10/9/18,MISO,1901018,1849594,-72345
10/9/18,NYIS,447319,399599,-47720
10/9/18,SWPP,669907,691765,21863
10/10/18,CISO,598676,428454,-138654
10/10/18,ERCO,964256,962059,-2200
10/10/18,FPL,422824,413988,-8836
10/10/18,MISO,1811619,1763776,-70497
10/10/18,NYIS,468468,420923,-47545
10/10/18,SWPP,642569,667250,24684
10/11/18,CISO,598230,429722,-135958
10/11/18,ERCO,893987,894093,104
10/11/18,FPL,400934,393527,-7407
10/11/18,MISO,1650895,1594419,-73818
10/11/18,NYIS,465533,426825,-38708
10/11/18,SWPP,632352,632112,-241
10/12/18,CISO,603014,416446,-153705
10/12/18,ERCO,930277,933304,3013
10/12/18,FPL,385006,375309,-9697
10/12/18,MISO,1629949,1510163,-132824
10/12/18,NYIS,394776,353580,-41196
10/12/18,SWPP,628185,616838,-11347
10/13/18,CISO,546463,387657,-126756
10/13/18,ERCO,955335,956839,1495
10/13/18,FPL,368034,359042,-8992
10/13/18,MISO,1542498,1427694,-125384
10/13/18,NYIS,353788,321446,-32342
10/13/18,SWPP,599803,611220,11412
10/14/18,CISO,520114,377509,-108674
10/14/18,ERCO,988986,985944,-3054
10/14/18,FPL,393251,381425,-11826
10/14/18,MISO,1551490,1451000,-109346
10/14/18,NYIS,345641,308851,-36790
10/14/18,SWPP,612145,628312,16167
10/15/18,CISO,572737,432681,-111337
10/15/18,ERCO,917654,925046,7375
10/15/18,FPL,420297,406366,-13931
10/15/18,MISO,1688306,1600949,-97712
10/15/18,NYIS,394701,363308,-31393
10/15/18,SWPP,669066,668108,-963
10/16/18,CISO,579976,433260,-116815
10/16/18,ERCO,898180,903161,4967
10/16/18,FPL,422588,408733,-13855
10/16/18,MISO,1681812,1615912,-75803
10/16/18,NYIS,384344,352411,-31933
10/16/18,SWPP,660159,654048,-6114
10/17/18,CISO,586935,429283,-126523
10/17/18,ERCO,865634,870698,5055
10/17/18,FPL,421068,408383,-12685
10/17/18,MISO,1650338,1554481,-99971
10/17/18,NYIS,389027,348671,-40356
10/17/18,SWPP,642996,627888,-15106
10/18/18,CISO,595805,428863,-134575
10/18/18,ERCO,843160,843022,-151
10/18/18,FPL,410741,395528,-15213
10/18/18,MISO,1647461,1577716,-82307
10/18/18,NYIS,394648,349753,-44895
10/18/18,SWPP,633338,634272,933
10/19/18,CISO,603662,446715,-124864
10/19/18,ERCO,844931,840809,-4132
10/19/18,FPL,396719,390576,-6143
10/19/18,MISO,1637818,1585374,-70480
10/19/18,NYIS,389559,342912,-46647
10/19/18,SWPP,625676,629756,4080
10/20/18,CISO,559856,416343,-109395
10/20/18,ERCO,798008,797193,-821
10/20/18,FPL,377960,373703,-4257
10/20/18,MISO,1525374,1436302,-101870
10/20/18,NYIS,358271,316822,-41449
10/20/18,SWPP,593045,591935,-1110
10/21/18,CISO,539541,392064,-114578
10/21/18,ERCO,772428,772418,-13
10/21/18,FPL,360965,356501,-4464
10/21/18,MISO,1493639,1410759,-92729
