Region,Variable Description,"Source 
Abbreviation","Source Description 
(click for URL)",Source 1,Source 2,Source 3,source description URL,source 1 URL,source 2 URL,source 3 URL
Norway,projection for: light truck sales share,static,N/A - static,,,,N/A - static,,,
Norway,history source: powertrain sales share,default,multiple sources - see right,,,,multiple sources - see right,,,
Norway,projection for: sales shares by powertrain (PT),user,N/A - user,,,,N/A - user,,,
Norway,history source: car survival rates,default,multiple sources - see right,"2020 Transportation Energy Data Book, by US DOE-ORNL",internal,,multiple sources - see right,https://tedb.ornl.gov/wp-content/uploads/2020/02/TEDB_Ed_38_04302020.pdf#page=80,,
Norway,projection for: median car life,static,N/A - static,,,,N/A - static,,,
Norway,history source: new car distance,TEDB20,"2020 Transportation Energy Data Book, by US DOE-ORNL",,,,https://tedb.ornl.gov/wp-content/uploads/2020/02/TEDB_Ed_38_04302020.pdf#page=80,,,
Norway,projection for: new car distance,static,N/A - static,,,,N/A - static,,,
Norway,history source: distance Δ per age Δ,TEDB20,"2020 Transportation Energy Data Book, by US DOE-ORNL",,,,https://tedb.ornl.gov/wp-content/uploads/2020/02/TEDB_Ed_38_04302020.pdf#page=80,,,
Norway,projection for: distance decline per age Δ,static,N/A - static,,,,N/A - static,,,
Norway,history source: fuel intensity new,default,multiple sources - see right,,,,multiple sources - see right,,,
Norway,projection for: new car fuel intensity (F),MIT15,"2015 MIT Report - On The Road to 2050, by Heywood, John; Mackenzie, Don",,,,http://web.mit.edu/sloan-auto-lab/research/beforeh2/files/On-the-Road-toward-2050.pdf,,,
Norway,history source: grid carbon intensity,default,multiple sources - see right,", by ",,,multiple sources - see right,0,,
Norway,projection for: grid carbon intensity (CI),default,multiple sources - see right,", by ",,,multiple sources - see right,0,,
