State,wind_speed_range,min_wind_speed,max_wind_speed,avg_wind_speed,unit,cap_fac
Oregon,10.5 - 11.0,10.5,11,10.8,m/s,0.6
Oregon,9.5 - 10.0,9.5,10,9.8,m/s,0.6
Oregon,9.0 - 9.5,9,9.5,9.3,m/s,0.6
Oregon,8.0 - 8.5,8,8.5,8.3,m/s,0.45
Oregon,7.5 - 8.0,7.5,8,7.8,m/s,0.43
Oregon,6.5 - 7.0,6.5,7,6.8,m/s,0.35
Oregon,8.5 - 9.0,8.5,9,8.8,m/s,0.6
Pennsylvania,8.0 - 8.5,8,8.5,8.3,m/s,0.45
Rhode Island,8.5 - 9.0,8.5,9,8.8,m/s,0.6
Rhode Island,9.0 - 9.5,9,9.5,9.3,m/s,0.6
Rhode Island,8.0 - 8.5,8,8.5,8.3,m/s,0.45
Rhode Island,9.5 - 10.0,9.5,10,9.8,m/s,0.6
South Carolina,7.5 - 8.0,7.5,8,7.8,m/s,0.43
South Carolina,8.0 - 8.5,8,8.5,8.3,m/s,0.45
South Carolina,7.0 - 7.5,7,7.5,7.3,m/s,0.4
South Carolina,8.5 - 9.0,8.5,9,8.8,m/s,0.6
Texas,8.5 - 9.0,8.5,9,8.8,m/s,0.6
Texas,8.0 - 8.5,8,8.5,8.3,m/s,0.45
Texas,7.5 - 8.0,7.5,8,7.8,m/s,0.43
Texas,9.0 - 9.5,9,9.5,9.3,m/s,0.6
Texas,7.0 - 7.5,7,7.5,7.3,m/s,0.4
Virginia,8.0 - 8.5,8,8.5,8.3,m/s,0.45
Virginia,7.5 - 8.0,7.5,8,7.8,m/s,0.43
Virginia,8.5 - 9.0,8.5,9,8.8,m/s,0.6
Washington,8.0 - 8.5,8,8.5,8.3,m/s,0.45
Washington,7.5 - 8.0,7.5,8,7.8,m/s,0.43
Washington,7.0 - 7.5,7,7.5,7.3,m/s,0.4
Washington,8.5 - 9.0,8.5,9,8.8,m/s,0.6
Washington,6.5 - 7.0,6.5,7,6.8,m/s,0.35
Washington,9.0 - 9.5,9,9.5,9.3,m/s,0.6
Wisconsin,7.5 - 8.0,7.5,8,7.8,m/s,0.43
Wisconsin,8.0 - 8.5,8,8.5,8.3,m/s,0.45
Wisconsin,7.0 - 7.5,7,7.5,7.3,m/s,0.4
Wisconsin,8.5 - 9.0,8.5,9,8.8,m/s,0.6
Wisconsin,6.5 - 7.0,6.5,7,6.8,m/s,0.35
