Natural Gas Type,Count Emissions from Building Well Infrastructure,Methane Leakage Parameter,activity,flow_source,flows,flow_breakdown,value,unit,direction,type,Source,comment,data location
Shale,Yes,EDF (2.3%),Recovery,total,ch4,combustion,0.0000111,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Shale,No,EDF (2.3%),Recovery,total,ch4,combustion,0.00000924,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,No,EDF (2.3%),Processing,total,ch4,leakage,9.13E-06,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,Yes,EDF (2.3%),Processing,total,ch4,leakage,9.13E-06,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,No,EDF (2.3%),Recovery,total,ch4,leakage,2.04E-04,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,Yes,EDF (2.3%),Recovery,total,ch4,leakage,2.04E-04,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Processing,total,ch4,leakage,9.13E-06,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Processing,total,ch4,leakage,9.13E-06,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Recovery,total,ch4,leakage,2.04E-04,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Recovery,total,ch4,leakage,2.04E-04,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Shale,No,EDF (2.3%),Processing,total,ch4,leakage,9.13E-06,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Shale,Yes,EDF (2.3%),Processing,total,ch4,leakage,9.13E-06,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Shale,No,EDF (2.3%),Recovery,total,ch4,leakage,2.04E-04,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Shale,Yes,EDF (2.3%),Recovery,total,ch4,leakage,2.04E-04,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,No,EDF (2.3%),Processing,total,co2,,1.88E-03,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"NG tab Row 66 for conventional gas (prcoessing, non-combustion)"
Conventional,Yes,EDF (2.3%),Processing,total,co2,,1.90E-03,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"NG tab Row 66 for conventional gas (prcoessing, non-combustion)"
Conventional,No,EDF (2.3%),Recovery,total,co2,,1.72E-03,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,NG tab Row 66 for conventional gas (recovery)
Conventional,Yes,EDF (2.3%),Recovery,total,co2,,2.72E-03,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,NG tab Row 66 for conventional gas (recovery)
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Processing,total,co2,,0.001875972,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"NG tab Row 66, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Processing,total,co2,,0.001906449,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"NG tab Row 66, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Recovery,total,co2,,0.001686012,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"NG tab Row 66, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Recovery,total,co2,,0.00279512,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"NG tab Row 66, 48% conventional, 52% shale"
Shale,No,EDF (2.3%),Processing,total,co2,,1.88E-03,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"NG tab Row 66 for shale gas (prcoessing, non-combustion)"
Shale,Yes,EDF (2.3%),Processing,total,co2,,1.91E-03,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"NG tab Row 66 for shale gas (prcoessing, non-combustion)"
Shale,No,EDF (2.3%),Recovery,total,co2,,1.66E-03,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,NG tab Row 66 for shale gas (recovery)
Shale,Yes,EDF (2.3%),Recovery,total,co2,,2.86E-03,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,NG tab Row 66 for shale gas (recovery)
Conventional,No,EDF (2.3%),Processing,Feedstock loss,Feedstock loss,,4.67E-04,MJ/MJ,input,energy,GREET,processing-NA (North America) and non-NA emissions are almost the same.,NG tab Row 48 for conventional gas
Conventional,Yes,EDF (2.3%),Processing,Feedstock loss,Feedstock loss,,4.67E-04,MJ/MJ,input,energy,GREET,processing-NA (North America) and non-NA emissions are almost the same.,NG tab Row 48 for conventional gas
Conventional,No,EDF (2.3%),Recovery,Feedstock loss,Feedstock loss,,1.05E-02,MJ/MJ,input,energy,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,NG tab Row 48 for conventional gas
Conventional,Yes,EDF (2.3%),Recovery,Feedstock loss,Feedstock loss,,1.05E-02,MJ/MJ,input,energy,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,NG tab Row 48 for conventional gas
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Processing,Feedstock loss,Feedstock loss,,4.67E-04,MJ/MJ,input,energy,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"NG tab Row 48, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Processing,Feedstock loss,Feedstock loss,,4.67E-04,MJ/MJ,input,energy,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"NG tab Row 48, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Recovery,Feedstock loss,Feedstock loss,,1.05E-02,MJ/MJ,input,energy,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"NG tab Row 48, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Recovery,Feedstock loss,Feedstock loss,,1.05E-02,MJ/MJ,input,energy,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"NG tab Row 48, 48% conventional, 52% shale"
Shale,No,EDF (2.3%),Processing,Feedstock loss,Feedstock loss,,4.67E-04,MJ/MJ,input,energy,GREET,processing-NA (North America) and non-NA emissions are almost the same.,NG tab Row 48 for shale gas
Shale,Yes,EDF (2.3%),Processing,Feedstock loss,Feedstock loss,,4.67E-04,MJ/MJ,input,energy,GREET,processing-NA (North America) and non-NA emissions are almost the same.,NG tab Row 48 for shale gas
Shale,No,EDF (2.3%),Recovery,Feedstock loss,Feedstock loss,,1.05E-02,MJ/MJ,input,energy,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,NG tab Row 48 for shale gas
Shale,Yes,EDF (2.3%),Recovery,Feedstock loss,Feedstock loss,,1.05E-02,MJ/MJ,input,energy,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,NG tab Row 48 for shale gas
Conventional,No,EDF (2.3%),Processing,electricity,bc,,4.62E-10,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from h2"" flow"
Conventional,Yes,EDF (2.3%),Processing,electricity,bc,,4.62E-10,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from h2"" flow"
Conventional,No,EDF (2.3%),Processing,total,bc,,2.62E-08,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,Yes,EDF (2.3%),Processing,total,bc,,2.63E-08,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,No,EDF (2.3%),Recovery,electricity,bc,,1.45E-10,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from electricity"" flow"
Conventional,Yes,EDF (2.3%),Recovery,electricity,bc,,1.45E-10,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from electricity"" flow"
Conventional,No,EDF (2.3%),Recovery,total,bc,,9.03E-08,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,Yes,EDF (2.3%),Recovery,total,bc,,9.60E-08,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Processing,electricity,bc,,4.62E-10,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from h2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Processing,electricity,bc,,4.62E-10,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from h2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Processing,total,bc,,2.61E-08,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Processing,total,bc,,2.63E-08,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Recovery,electricity,bc,,1.41E-10,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from electricity"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Recovery,electricity,bc,,1.41E-10,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from electricity"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Recovery,total,bc,,8.87E-08,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Recovery,total,bc,,9.49E-08,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Shale,No,EDF (2.3%),Processing,electricity,bc,,4.62E-10,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from h2"" flow"
Shale,Yes,EDF (2.3%),Processing,electricity,bc,,4.62E-10,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from h2"" flow"
Shale,No,EDF (2.3%),Processing,total,bc,,2.61E-08,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Shale,Yes,EDF (2.3%),Processing,total,bc,,2.63E-08,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Shale,No,EDF (2.3%),Recovery,electricity,bc,,1.38E-10,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from electricity"" flow"
Shale,Yes,EDF (2.3%),Recovery,electricity,bc,,1.38E-10,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from electricity"" flow"
Shale,No,EDF (2.3%),Recovery,total,bc,,8.72E-08,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Shale,Yes,EDF (2.3%),Recovery,total,bc,,9.39E-08,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,No,EDF (2.3%),Processing,electricity,ch4,combustion,2.04E-07,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from h2"" flow"
Conventional,Yes,EDF (2.3%),Processing,electricity,ch4,combustion,2.04E-07,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from h2"" flow"
Conventional,No,EDF (2.3%),Recovery,electricity,ch4,combustion,6.41E-08,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from electricity"" flow"
Conventional,Yes,EDF (2.3%),Recovery,electricity,ch4,combustion,6.41E-08,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from electricity"" flow"
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Processing,electricity,ch4,combustion,2.04E-07,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from h2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Processing,electricity,ch4,combustion,2.04E-07,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from h2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Recovery,electricity,ch4,combustion,6.24E-08,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from electricity"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Recovery,electricity,ch4,combustion,6.24E-08,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from electricity"" flow, 48% conventional, 52% shale"
Shale,No,EDF (2.3%),Processing,electricity,ch4,combustion,2.04E-07,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from h2"" flow"
Shale,Yes,EDF (2.3%),Processing,electricity,ch4,combustion,2.04E-07,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from h2"" flow"
Shale,No,EDF (2.3%),Recovery,electricity,ch4,combustion,6.10E-08,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from electricity"" flow"
Shale,Yes,EDF (2.3%),Recovery,electricity,ch4,combustion,6.10E-08,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from electricity"" flow"
Conventional,No,EDF (2.3%),Processing,electricity,co,,3.69E-08,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from h2"" flow"
Conventional,Yes,EDF (2.3%),Processing,electricity,co,,3.69E-08,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from h2"" flow"
Conventional,No,EDF (2.3%),Processing,total,co,,1.26E-06,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,Yes,EDF (2.3%),Processing,total,co,,1.41E-06,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,No,EDF (2.3%),Processing: Non-Combustion ,total,co,,0.00000114,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,Yes,EDF (2.3%),Processing: Non-Combustion ,total,co,,0.00000114,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,No,EDF (2.3%),Recovery,electricity,co,,1.16E-08,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from electricity"" flow"
Conventional,Yes,EDF (2.3%),Recovery,electricity,co,,1.16E-08,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from electricity"" flow"
Conventional,No,EDF (2.3%),Recovery,total,co,,9.24E-06,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,Yes,EDF (2.3%),Recovery,total,co,,1.45E-05,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Processing,electricity,co,,3.69E-08,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from h2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Processing,electricity,co,,3.69E-08,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from h2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Processing,total,co,,1.26E-06,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Processing,total,co,,1.42E-06,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Processing: Non-Combustion ,total,co,,1.14E-06,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Processing: Non-Combustion ,total,co,,1.14E-06,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Recovery,electricity,co,,1.13E-08,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from electricity"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Recovery,electricity,co,,1.13E-08,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from electricity"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Recovery,total,co,,9.01E-06,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Recovery,total,co,,1.51E-05,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow, 48% conventional, 52% shale"
Shale,No,EDF (2.3%),Processing,electricity,co,,3.69E-08,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from h2"" flow"
Shale,Yes,EDF (2.3%),Processing,electricity,co,,3.69E-08,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from h2"" flow"
Shale,No,EDF (2.3%),Processing,total,co,,1.25E-06,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Shale,Yes,EDF (2.3%),Processing,total,co,,1.44E-06,kg/MJ,output,mass,GREET,Total from processing (combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Shale,No,EDF (2.3%),Processing: Non-Combustion ,total,co,,0.00000114,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Shale,Yes,EDF (2.3%),Processing: Non-Combustion ,total,co,,0.00000114,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Shale,No,EDF (2.3%),Recovery,electricity,co,,0.000000011,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from electricity"" flow"
Shale,Yes,EDF (2.3%),Recovery,electricity,co,,0.000000011,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"See ""co2 from electricity"" flow"
Shale,No,EDF (2.3%),Recovery,total,co,,8.80E-06,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Shale,Yes,EDF (2.3%),Recovery,total,co,,1.55E-05,kg/MJ,output,mass,GREET,Total from recovery -NA (North America) and non-NA emissions are almost the same.,"See ""co2"" flow"
Conventional,No,EDF (2.3%),Processing,electricity,co2,,1.03E-04,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,NG tab Row 47 for conventional gas and Electric tab B220 and C220
Conventional,Yes,EDF (2.3%),Processing,electricity,co2,,1.03E-04,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,NG tab Row 47 for conventional gas and Electric tab B220 and C220
Conventional,No,EDF (2.3%),Processing: Non-Combustion ,total,co2,,5.10E-04,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"NG tab Row 66 for conventional gas (prcoessing, non-combustion)"
Conventional,Yes,EDF (2.3%),Processing: Non-Combustion ,total,co2,,5.10E-04,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"NG tab Row 66 for conventional gas (prcoessing, non-combustion)"
Conventional,No,EDF (2.3%),Recovery,electricity,co2,,3.23E-05,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,NG tab Row 47 for conventional gas and Electric tab B220 and C220
Conventional,Yes,EDF (2.3%),Recovery,electricity,co2,,3.23E-05,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,NG tab Row 47 for conventional gas and Electric tab B220 and C220
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Processing,electricity,co2,,1.03E-04,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"NG tab Row 47 and Electric tab B220 and C220, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Processing,electricity,co2,,1.03E-04,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,"NG tab Row 47 and Electric tab B220 and C220, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Processing: Non-Combustion ,total,co2,,5.10E-04,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"NG tab Row 66, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Processing: Non-Combustion ,total,co2,,5.10E-04,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"NG tab Row 66, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),No,EDF (2.3%),Recovery,electricity,co2,,0.0000315,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"NG tab Row 47 and Electric tab B220 and C220, 48% conventional, 52% shale"
Mix (~50/50 Conventional/Shale),Yes,EDF (2.3%),Recovery,electricity,co2,,0.0000315,kg/MJ,output,mass,GREET,recovery-NA (North America) and non-NA emissions are almost the same.,"NG tab Row 47 and Electric tab B220 and C220, 48% conventional, 52% shale"
Shale,No,EDF (2.3%),Processing,electricity,co2,,0.000102976,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,NG tab Row 47 for shale gas and Electric tab B220 and C220
Shale,Yes,EDF (2.3%),Processing,electricity,co2,,0.000102976,kg/MJ,output,mass,GREET,processing-NA (North America) and non-NA emissions are almost the same.,NG tab Row 47 for shale gas and Electric tab B220 and C220
Shale,No,EDF (2.3%),Processing: Non-Combustion ,total,co2,,0.000509689,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"NG tab Row 66 for shale gas (prcoessing, non-combustion)"
Shale,Yes,EDF (2.3%),Processing: Non-Combustion ,total,co2,,0.000509689,kg/MJ,output,mass,GREET,Total from processing (non-combustion) -NA (North America) and non-NA emissions are almost the same.,"NG tab Row 66 for shale gas (prcoessing, non-combustion)"
