,Year,Reference,Electrification,Natural Gas Support,Resource Efficiency,Low Carbon Price,High Carbon Price,CCS and Low Carbon Price,CCS and High Carbon Price,units,source
,2035,1.1,1.1,1.09,1.23,1.2,1.18,1.2,1.19,index (2020=1),"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2040,1.09,1.09,1.08,1.24,1.2,1.16,1.2,1.18,index (2020=1),"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2045,1.05,1.06,1.05,1.22,1.11,1.04,1.11,1.07,index (2020=1),"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2050,1.03,1.03,1.02,1.2,1.06,1,1.07,1.04,index (2020=1),"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,,,,,,,,,,,
Carbon price,2020,0,0,0,0,0,0,0,0,$/tCO2,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2025,0,0,0,0,5,43,5,43,$/tCO3,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2030,0,0,0,0,20,68,20,68,$/tCO4,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2035,0,0,0,0,35,93,35,93,$/tCO5,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2040,0,0,0,0,50,125,50,125,$/tCO6,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2045,0,0,0,0,65,150,65,150,$/tCO7,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2050,0,0,0,0,80,175,80,175,$/tCO8,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,,,,,,,,,,,
CO2 emission,2000,46000000,46000000,46000000,46000000,46000000,46000000,46000000,46000000, tonne Co2,http://www.globalcarbonatlas.org/en/CO2-emissions
,2005,60000000,60000000,60000000,60000000,60000000,60000000,60000000,60000000, tonne Co3,http://www.globalcarbonatlas.org/en/CO2-emissions
,2010,86000000,86000000,86000000,86000000,86000000,86000000,86000000,86000000, tonne Co4,http://www.globalcarbonatlas.org/en/CO2-emissions
,2015,118000000,118000000,118000000,118000000,118000000,118000000,118000000,118000000, tonne Co5,http://www.globalcarbonatlas.org/en/CO2-emissions
,2020,272783713.1,272783713.1,272783713.1,272783713.1,272783713.1,272783713.1,272783713.1,272783713.1, tonne Co6,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2025,327490059,317989433.4,318223658.9,301273583,303723680.8,266604881.9,303734765.9,266608160.2, tonne Co7,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2030,411559387.5,394010892.9,394545280.8,372395805.4,353156159.3,298212105,353171429.3,280929597.7, tonne Co8,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2035,506219204.3,478360634.6,479370844.7,450976598,407084171.8,327299533.8,407103716.4,124807036.7, tonne Co9,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2040,599914813.9,561695257.6,563255978.5,526261411.5,452011736.6,338912307.8,451968479.6,117209403.7, tonne Co10,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2045,681405475.4,632770611.4,635454418.7,585405237.1,488645515.2,355451793.2,484627627,95199467.93, tonne Co11,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
,2050,754062740.7,698508333.9,701439014.7,640722144.5,501912504,366468754.5,307248568.8,93432969.67, tonne Co12,"MIT EPPA model, Sergey Paltsev paltsev@mit.edu"
